,No. of GDP Articles
2020-09-01,5056
2020-06-01,3978
2020-10-01,5283
2020-08-01,5050
2020-12-01,3875
2020-01-01,5575
2020-03-01,4213
2020-11-01,3546
2020-05-01,3171
2020-02-01,4750
2020-07-01,4866
2020-04-01,4456
2005-03-01,8205
2005-07-01,7605
2005-02-01,6871
2005-09-01,10206
2005-04-01,7726
2005-11-01,8232
2005-06-01,7870
2005-12-01,7918
2005-10-01,9197
2005-08-01,8636
2005-01-01,7019
2005-05-01,7862
2001-12-01,3969
2001-11-01,5181
2001-08-01,5080
2001-03-01,4774
2001-04-01,3375
2001-07-01,5509
2001-05-01,4636
2001-06-01,4722
2001-10-01,6044
2001-01-01,4943
2001-09-01,4550
2001-02-01,4831
2002-02-01,4487
2002-10-01,5012
2002-11-01,4304
2002-05-01,4388
2002-07-01,4754
2002-12-01,3928
2002-04-01,4835
2002-03-01,4764
2002-01-01,5325
2002-08-01,4330
2002-06-01,3584
2002-09-01,4449
2013-03-01,8733
2013-11-01,9848
2013-10-01,11003
2013-05-01,10230
2013-06-01,7803
2013-04-01,10212
2013-09-01,8615
2013-02-01,9042
2013-12-01,8411
2013-01-01,10628
2013-08-01,9378
2013-07-01,9643
2003-01-01,5937
2003-08-01,7160
2003-12-01,12064
2003-02-01,6108
2003-07-01,7978
2003-05-01,7350
2003-06-01,7416
2003-10-01,11566
2003-03-01,6717
2003-09-01,12118
2003-04-01,6857
2003-11-01,11190
2007-04-01,14602
2007-08-01,16223
2007-01-01,14467
2007-09-01,14707
2007-07-01,15387
2007-10-01,17110
2007-06-01,15812
2007-11-01,15664
2007-03-01,16741
2007-02-01,14530
2007-12-01,13653
2007-05-01,16121
2009-01-01,17334
2009-05-01,16368
2009-02-01,17102
2009-07-01,17824
2009-10-01,16218
2009-12-01,15068
2009-03-01,19088
2009-04-01,17442
2009-06-01,17360
2009-09-01,16051
2009-08-01,15575
2009-11-01,15084
2010-06-01,8733
2010-05-01,8641
2010-03-01,9641
2010-07-01,7893
2010-12-01,8169
2010-11-01,8992
2010-04-01,8608
2010-10-01,8590
2010-02-01,9036
2010-08-01,7726
2010-09-01,7765
2010-01-01,9097
1998-06-01,11414
1998-10-01,11794
1998-12-01,9302
1998-03-01,11325
1998-05-01,11583
1998-02-01,5770
1998-09-01,10311
1998-01-01,6945
1998-11-01,11153
1998-04-01,11559
1998-07-01,10126
1998-08-01,10220
2017-05-01,16377
2017-01-01,15174
2017-04-01,14002
2017-12-01,14385
2017-06-01,16413
2017-11-01,17304
2017-09-01,16006
2017-08-01,17490
2017-02-01,14360
2017-03-01,17384
2017-10-01,17793
2017-07-01,15424
1999-06-01,6090
1999-10-01,5357
1999-11-01,5042
1999-03-01,6288
1999-04-01,5805
1999-09-01,5481
1999-01-01,5547
1999-02-01,5546
1999-05-01,6004
1999-07-01,5903
1999-08-01,5543
1999-12-01,4652
2006-06-01,15430
2006-07-01,13534
2006-08-01,15396
2006-12-01,12631
2006-11-01,15093
2006-04-01,12989
2006-02-01,12764
2006-10-01,15473
2006-01-01,13660
2006-09-01,14187
2006-03-01,14987
2006-05-01,15651
2012-09-01,7717
2012-01-01,7758
2012-12-01,7046
2012-04-01,8402
2012-10-01,9730
2012-07-01,8422
2012-11-01,7806
2012-02-01,7836
2012-06-01,7151
2012-03-01,8771
2012-08-01,8017
2012-05-01,8727
2015-04-01,14549
2015-02-01,13924
2015-10-01,15934
2015-06-01,11345
2015-12-01,13548
2015-08-01,12928
2015-01-01,14846
2015-07-01,13174
2015-05-01,14609
2015-09-01,14109
2015-03-01,14073
2015-11-01,14131
2016-08-01,18385
2016-11-01,16948
2016-07-01,18737
2016-05-01,17482
2016-03-01,17531
2016-09-01,18363
2016-06-01,17197
2016-04-01,17219
2016-12-01,15344
2016-01-01,17142
2016-02-01,18144
2016-10-01,18295
2014-06-01,11089
2014-05-01,12552
2014-10-01,11946
2014-01-01,11807
2014-11-01,10375
2014-07-01,12107
2014-02-01,10938
2014-03-01,10972
2014-09-01,9643
2014-08-01,9794
2014-04-01,12966
2014-12-01,9570
2019-02-01,15941
2019-05-01,19830
2019-12-01,15065
2019-06-01,15448
2019-08-01,16629
2019-11-01,16029
2019-01-01,17445
2019-04-01,17294
2019-10-01,18481
2019-07-01,18468
2019-09-01,16557
2019-03-01,16951
2011-03-01,10888
2011-11-01,8488
2011-07-01,9861
2011-09-01,9141
2011-06-01,10428
2011-01-01,11147
2011-02-01,11157
2011-04-01,10395
2011-08-01,10451
2011-12-01,6913
2011-10-01,9032
2011-05-01,9571
2000-08-01,4817
2000-05-01,4576
2000-10-01,4453
2000-12-01,4103
2000-03-01,4265
2000-04-01,4007
2000-09-01,4515
2000-07-01,4319
2000-01-01,4440
2000-11-01,4441
2000-02-01,4688
2000-06-01,4460
2018-11-01,17935
2018-06-01,15874
2018-03-01,17388
2018-04-01,17667
2018-09-01,16798
2018-12-01,14773
2018-01-01,16332
2018-07-01,17444
2018-02-01,16944
2018-05-01,18661
2018-08-01,18198
2018-10-01,18478
1997-03-01,1552
1997-06-01,1549
1997-05-01,1513
1997-12-01,1913
1997-11-01,1996
1997-01-01,1315
1997-08-01,1943
1997-02-01,1480
1997-07-01,1975
1997-10-01,2769
1997-04-01,1626
1997-09-01,1820
2004-10-01,7411
2004-12-01,6629
2004-07-01,7803
2004-09-01,7936
2004-03-01,9133
2004-01-01,6889
2004-06-01,8785
2004-04-01,7663
2004-11-01,6731
2004-08-01,7618
2004-02-01,7708
2004-05-01,7384
2008-06-01,18276
2008-09-01,18225
2008-01-01,18520
2008-02-01,17124
2008-04-01,20121
2008-12-01,17214
2008-03-01,17546
2008-11-01,17544
2008-07-01,19007
2008-10-01,20572
2008-08-01,16232
2008-05-01,18666
1996-11-01,2868
1996-02-01,2553
1996-09-01,2439
1996-03-01,2582
1996-05-01,2605
1996-04-01,2281
1996-10-01,3010
1996-12-01,2637
1996-06-01,1902
1996-08-01,2193
1996-07-01,2593
1996-01-01,2422
